===================== processing the file nott_2.txt =======================
** [[dS sm16469518 sm116816367]
    [S sm16469518 sm116816367]
    [dS sm116816371 sm116816367]
    [S sm116816371 sm116816367]
    [dS sm116816371 sm16469518]
    [S sm116816371 sm16469518]
    [dS sm116816377 sm116816367]
    [S sm116816377 sm116816367]
    [Ins sm116816377 sm16469518]
    [S sm116816377 sm16469518]
    [Ins sm116816377 sm116816371]
    [N sm116816377 sm116816371]
    [dS sm116816366 sm116816367]
    [S sm116816366 sm116816367]
    [dS sm116816366 sm16469518]
    [S sm116816366 sm16469518]
    [Ins sm116816366 sm116816371]
    [nNS sm116816366 sm116816371]
    [Ins sm116816366 sm116816377]
    [S sm116816366 sm116816377]
    [Ins os1000023066593 os1000023066595]
    [nNS os1000023066593 os1000023066595]
    [Ins os1000023067000 os1000023066595]
    [N os1000023067000 os1000023066595]
    [Ins os1000023067000 os1000023066593]
    [N os1000023067000 os1000023066593]
    [Ins os1000023066591 os1000023066595]
    [nNS os1000023066591 os1000023066595]
    [Ins os1000023066591 os1000023066593]
    [nNS os1000023066591 os1000023066593]
    [Ins os1000023066591 os1000023067000]
    [S os1000023066591 os1000023067000]
    [dS os1000023066629 os1000023066595]
    [S os1000023066629 os1000023066595]
    [dS os1000023066629 os1000023066593]
    [S os1000023066629 os1000023066593]
    [dS os1000023066629 os1000023067000]
    [S os1000023066629 os1000023067000]
    [dS os1000023066629 os1000023066591]
    [S os1000023066629 os1000023066591]
    [dS os1000023066628 os1000023066595]
    [S os1000023066628 os1000023066595]
    [dS os1000023066628 os1000023066593]
    [S os1000023066628 os1000023066593]
    [dS os1000023066628 os1000023067000]
    [S os1000023066628 os1000023067000]
    [dS os1000023066628 os1000023066591]
    [S os1000023066628 os1000023066591]
    [Ins os1000023066628 os1000023066629]
    [N os1000023066628 os1000023066629]
    [dS os1000023066627 os1000023066595]
    [S os1000023066627 os1000023066595]
    [dS os1000023066627 os1000023066593]
    [S os1000023066627 os1000023066593]
    [dS os1000023066627 os1000023067000]
    [S os1000023066627 os1000023067000]
    [dS os1000023066627 os1000023066591]
    [S os1000023066627 os1000023066591]
    [Ins os1000023066627 os1000023066629]
    [N os1000023066627 os1000023066629]
    [Ins os1000023066627 os1000023066628]
    [nNS os1000023066627 os1000023066628]
    [dS os1000023066626 os1000023066595]
    [S os1000023066626 os1000023066595]
    [dS os1000023066626 os1000023066593]
    [S os1000023066626 os1000023066593]
    [dS os1000023066626 os1000023067000]
    [S os1000023066626 os1000023067000]
    [dS os1000023066626 os1000023066591]
    [S os1000023066626 os1000023066591]
    [Ins os1000023066626 os1000023066629]
    [N os1000023066626 os1000023066629]
    [Ins os1000023066626 os1000023066628]
    [nNS os1000023066626 os1000023066628]
    [Ins os1000023066626 os1000023066627]
    [nNS os1000023066626 os1000023066627]
    [dS os1000023066625 os1000023066595]
    [S os1000023066625 os1000023066595]
    [dS os1000023066625 os1000023066593]
    [S os1000023066625 os1000023066593]
    [dS os1000023066625 os1000023067000]
    [S os1000023066625 os1000023067000]
    [dS os1000023066625 os1000023066591]
    [S os1000023066625 os1000023066591]
    [Ins os1000023066625 os1000023066629]
    [N os1000023066625 os1000023066629]
    [Ins os1000023066625 os1000023066628]
    [nNS os1000023066625 os1000023066628]
    [Ins os1000023066625 os1000023066627]
    [nNS os1000023066625 os1000023066627]
    [Ins os1000023066625 os1000023066626]
    [nNS os1000023066625 os1000023066626]
    [dS os1000023066624 os1000023066595]
    [S os1000023066624 os1000023066595]
    [dS os1000023066624 os1000023066593]
    [S os1000023066624 os1000023066593]
    [dS os1000023066624 os1000023067000]
    [S os1000023066624 os1000023067000]
    [dS os1000023066624 os1000023066591]
    [S os1000023066624 os1000023066591]
    [Ins os1000023066624 os1000023066629]
    [N os1000023066624 os1000023066629]
    [Ins os1000023066624 os1000023066628]
    [nNS os1000023066624 os1000023066628]
    [Ins os1000023066624 os1000023066627]
    [nNS os1000023066624 os1000023066627]
    [Ins os1000023066624 os1000023066626]
    [nNS os1000023066624 os1000023066626]
    [Ins os1000023066624 os1000023066625]
